x_m,y_m
6.220703125000000104e-03,1.542924196941715051e-02
6.240234375000000555e-03,1.542529175886704976e-02
6.259765625000000139e-03,1.542096421441325853e-02
6.264093853574266915e-03,1.541992187500000264e-02
6.279296874999999722e-03,1.541639991758767501e-02
6.298828125000000173e-03,1.541200864726021899e-02
6.318359374999999757e-03,1.540754819240804964e-02
6.337890625000000208e-03,1.540273004455693442e-02
6.346493103109056809e-03,1.540039062499999958e-02
6.357421874999999792e-03,1.539747095989146136e-02
6.376953125000000243e-03,1.539241230508052102e-02
6.396484374999999827e-03,1.538727501002736496e-02
6.416015625000000278e-03,1.538162585602559709e-02
6.418438084989589419e-03,1.538085937500000000e-02
6.435546874999999861e-03,1.537569767960537785e-02
6.455078125000000312e-03,1.536995470050533420e-02
6.474609374999999896e-03,1.536382375788594018e-02
6.481768334979981852e-03,1.536132812500000042e-02
6.494140625000000347e-03,1.535710434501853447e-02
6.513671874999999931e-03,1.535062612013825614e-02
6.533203125000000382e-03,1.534370672420098079e-02
6.538060481946128023e-03,1.534179687500000083e-02
6.552734374999999098e-03,1.533620572381657818e-02
6.572265625000000416e-03,1.532889758066872249e-02
6.588290044554468740e-03,1.532226562499999951e-02
6.591796875000000000e-03,1.532076146090635520e-02
6.611328125000001318e-03,1.531259554296607144e-02
6.630859375000000035e-03,1.530400057818666337e-02
6.633455132874512515e-03,1.530273437499999993e-02
6.650390625000001353e-03,1.529478035752562456e-02
6.669921875000000069e-03,1.528541156987618145e-02
6.674061197978453305e-03,1.528320312500000035e-02
6.689453125000000520e-03,1.527519014803119940e-02
6.708984375000000104e-03,1.526471123860223891e-02
6.710738179011088017e-03,1.526367187500000076e-02
6.728515625000000555e-03,1.525345236397289764e-02
6.743777228752559708e-03,1.524414062500000291e-02
6.748046874999999271e-03,1.524142328602678086e-02
6.767578124999999722e-03,1.522899601603712461e-02
6.773866630192954159e-03,1.522460937499999986e-02
6.787109375000000173e-03,1.521531334348647131e-02
6.800938742829711232e-03,1.520507812500000028e-02
6.806640624999999757e-03,1.520068227595727621e-02
6.825622049518384991e-03,1.518554687500000069e-02
6.826171875000000208e-03,1.518508296121916061e-02
6.845703124999999792e-03,1.516808942578431324e-02
6.847937338637159234e-03,1.516601562500000111e-02
6.865234375000000243e-03,1.514933301290428275e-02
6.868042315063177354e-03,1.514648437499999979e-02
6.884765624999999827e-03,1.512847415775233489e-02
6.886130549208144096e-03,1.512695312500000021e-02
6.902242840843821926e-03,1.510742187500000062e-02
6.904296875000000278e-03,1.510480813990950147e-02
6.916776421895478970e-03,1.508789062500000278e-02
6.923828124999999861e-03,1.507752103854393191e-02
6.929889034229850565e-03,1.506835937499999972e-02
6.941043974126569378e-03,1.504882812500000014e-02
6.943359375000000312e-03,1.504453256924344687e-02
6.951197959600080925e-03,1.502929687500000056e-02
6.959503167619731159e-03,1.500976562500000097e-02
6.962890624999999896e-03,1.500096729751486217e-02
6.967000163639102371e-03,1.499023437499999965e-02
6.972751660202499563e-03,1.497070312500000007e-02
6.977205499938140577e-03,1.495117187500000049e-02
6.980618714021214616e-03,1.493164062500000264e-02
6.982421875000000347e-03,1.491648112097016844e-02
6.982956498461818928e-03,1.491210937499999958e-02
6.984038043704301167e-03,1.489257812500000000e-02
6.983876907637308167e-03,1.487304687500000042e-02
6.982489477615158938e-03,1.485351562500000083e-02
6.982421875000000347e-03,1.485300717560230667e-02
6.979915166008185227e-03,1.483398437499999951e-02
6.976339557989009836e-03,1.481445312499999993e-02
6.971805109467842966e-03,1.479492187500000035e-02
6.966115835824206876e-03,1.477539062500000076e-02
6.962890624999999896e-03,1.476649070615578159e-02
6.958908807330511231e-03,1.475585937499999771e-02
6.951010426943550480e-03,1.473632812499999986e-02
6.943359375000000312e-03,1.472008047894212031e-02
6.941700954054454663e-03,1.471679687500000028e-02
6.931439634127064403e-03,1.469726562500000069e-02
6.923828124999999861e-03,1.468428237319135098e-02
6.919788322042063657e-03,1.467773437500000111e-02
